name,free_returns,items_sold,status,shipping,price
3  white Thanksgiving Cactus  Plant Cuttings succulent,False,,,0,899
Thanksgiving Roasted Turkey Hat - Halloween Party Funny Gift * NEW - 2-Pack,False,,Brand New,0,1699
"New ListingThanksgiving Fall Plate Metal Wall Decor Grateful Orange Gold 10"" Seasonal ",True,,Brand New,0,1495
Papyrus Thanksgiving Card - Fall Flowers & Leaves,False,0,Brand New,300,600
High Quality Papyrus Gemmed Turkey Thanksgiving Card $10.50 Value,False,0,Brand New,0,795
Happy Thanksgiving Card Hallmark Greeting Card,False,,Brand New,65,189
BOX 12 Christian THANKSGIVING Greeting Cards Inspirational Verse Bible Scripture,True,0,Brand New,0,1048
Gemmy Airblown Inflatable Piligrim Turkey Thanksgiving Outdoor Decoration New,False,0,Brand New,0,4806
"Large Happy Thanksgiving Banner, Thanksgiving Decorations, Fall Banner, Turkey &",True,0,Brand New,0,2061
2PC Fall Decorations/Decor for Home-Thanksgiving Hanging,False,,Brand New,0,1350
16Pcs Assorted Mini Artificial Pumpkins Orange White Pumpkins Thanksgiving Decor,False,0,Brand New,0,650
Give Thanks Flag 3x5ft Happy Thanksgiving Decor Holiday Flag Pilgrim Psalm 118:1,False,,Brand New,0,794
"Dog Bandana, Tie On, Autumn, Thanksgiving, Turkeys,  S, M, L",False,,New (Other),0,525
VINTAGE THANKSGIVING TURKEY SHAPED Autumn Decor WICKER RATTAN BASKET,False,,Pre-Owned,985,1200
New Listing2 Pack Thanksgiving Lights 20Ft/60 LED Fall Garland Maple Leaf String Lights,True,0,Brand New,0,1349
Color Street Giving Thanks Thanksgiving 2021 100% Nail Polish Strips IN HAND,False,,Brand New,0,1398
Thanksgiving Turkeys Pumpkin Patch Barn Leaves - Greeting Card New - W/ TRACKING,False,0,Brand New,296,459
"Glitzhome 12.28"" Wooden Metal Turkey House Table Decor for Fall Thanksgiving Day",False,,Brand New,899,1399
"AMERICAN GREETINGS Thanksgiving Tablecloth Plastic Table Cover 54 X 102"" TURKEY",True,,Brand New,0,650
6 LARGE * SNOOPY PEANUTS STICKERS * THANKSGIVING PUMPKINS TURKEY DAY* SCRAPBOOK ,False,70,Brand New,100,150
Thanksgiving Decorations Wooden Turkey Couple Nutcracker Fall 7 Inch Set Of 2,True,,Brand New,0,2851
10/50PCS Thanksgiving Day Children Disposable Face Mask Industrial 3Ply Ear Loop,False,,Brand New,0,1522
